,title,title_len,title_in_content,content_len,include_rate
0,望海楼美国打“台湾牌”是危险的赌博,11,10,621,0.9090909090909091
1,大力推进高校治理能力建设,6,6,696,1.0
2,坚持事业为上选贤任能,5,4,819,0.8
3,“大朋友”的话儿记心头,7,6,338,0.8571428571428571
4,用好可持续发展这把“金钥匙”,10,10,463,1.0
5,跨越雄关，我们走在大路上,8,8,868,1.0
6,脱贫奇迹彰显政治优势,5,5,671,1.0
7,拱卫亿万人共同的绿色梦想,7,7,701,1.0
8,为党育人、为国育才,6,6,589,1.0
9,净化网络语言,3,3,807,1.0
10,用心叵测的美国政客哪有资格谈“宗教自由”？,12,9,846,0.75
11,保卫城市，打响关口战、阵地战、街巷战！,11,9,531,0.8181818181818182
12,兼顾疫情防控与社会运转,6,6,544,1.0
13,人民！人民！一切为了人民！,8,8,899,1.0
14,以更深层次改革推动构建完整内需体系,9,9,2103,1.0
15,创新传播，放大主流声音,6,5,576,0.8333333333333334
16,英勇奋斗的民族精神,5,5,902,1.0
17,全面推进复工复产要守住安全生产底线,8,7,462,0.875
18,为国有企业强“根”铸“魂”,10,9,645,0.9
19,建设廉洁之路是共同价值追求,7,7,774,1.0
20,让阅读成为一种习惯,5,5,396,1.0
21,靠什么纾解“基层压力”,7,5,736,0.7142857142857143
22,确保长江禁渔取得实效,4,4,705,1.0
23,致敬战“疫”中的每一个“她”,12,12,575,1.0
24,脱贫摘帽是新起点,4,4,746,1.0
25,书写践行初心使命的历史新篇章,8,8,579,1.0
26,让世界文明百花园群芳竞艳,5,5,688,1.0
27,让环保压力层层传递,5,5,707,1.0
28,形式主义官僚主义是我们党的大敌、人民的大敌,11,11,2998,1.0
29,确保全面建成小康社会圆满收官,6,6,627,1.0
30,上海，让开放成为一种思维方式,8,8,791,1.0
31,用“四个坚持”引领新时代文艺工作,9,9,1142,1.0
32,聚焦两会，世界探寻中国成功秘诀,8,7,694,0.875
33,持之以恒为基层减负,4,3,698,0.75
34,“港区国安立法”效应显现，乱港分子回头是岸！,12,11,527,0.9166666666666666
35,把高质量发展主题长期坚持下去,6,5,814,0.8333333333333334
36,建设人与自然和谐共生的现代化,6,6,906,1.0
37,新建造，挺起发展的脊梁,7,7,905,1.0
38,大国肩上都承担着特殊责任,7,7,661,1.0
39,风雨同舟照初心，团结奋进新征程,7,4,682,0.5714285714285714
40,摸清底数是打赢疫情防控战的关键,9,9,398,1.0
41,以协调、合作、稳定为基调推进中美关系发展,11,11,1178,1.0
42,国际关系岂能退回到野蛮时代,7,6,1101,0.8571428571428571
43,一以贯之推进党的建设新的伟大工程,6,6,692,1.0
44,6.1%的经济增速“含金量”高,8,8,722,1.0
45,望海楼中国经济的信心来自哪里,7,6,671,0.8571428571428571
46,钟声文明之光照耀人类命运共同体的未来,9,8,901,0.8888888888888888
47,“全面胜利”是硬任务,6,6,546,1.0
48,在抗疫战场共产党员必须冲锋在前,6,6,880,1.0
49,协同推进乡村治理现代化,5,5,693,1.0
50,在新时代新征程中奋勇争先建功立业,8,8,705,1.0
51,以“理论自觉”坚定制度自信,8,8,788,1.0
52,“到位”的深刻启示,6,6,626,1.0
53,冷战思维当休矣,4,2,638,0.5
54,准确把握“三农”工作的方位与定位,10,9,827,0.9
55,大就要有大的样子,6,6,755,1.0
56,望海楼凝聚起全世界团结合作的抗疫伟力,8,6,693,0.75
57,无奋斗不青春,4,4,498,1.0
58,热爱祖国是立身之本成才之基,7,7,554,1.0
59,拉美人民能够看清谁是真朋友,8,5,608,0.625
60,坚决打赢脱贫攻坚战，谱写人类反贫困历史新篇章,11,11,4629,1.0
61,以高质量监督促进高质量发展,6,5,888,0.8333333333333334
62,让青春为伟大时代绽放,6,6,1017,1.0
63,望海楼海外游子，祖国和你们命运与共,10,8,531,0.8
64,充分发挥党员干部先锋模范作用,4,4,667,1.0
65,钟声擘画美美与共的文明互鉴新画卷,10,9,600,0.9
66,以思想“铸魂”破解“大的难处”,11,11,628,1.0
67,奋力推动长江经济带迈向高质量发展,7,5,687,0.7142857142857143
68,辛识平谢谢你，拼过2020的平凡英雄,9,8,515,0.8888888888888888
69,望海楼为国家长治久安为民族万世太平,8,5,674,0.625
70,望海楼乱港祸港恶行必被国际社会唾弃,9,7,645,0.7777777777777778
71,让奋战在一线的医务人员感受到温暖关怀,10,10,528,1.0
72,城市治理，下足“绣花”功夫,8,6,813,0.75
73,以非常之功打好这场硬仗,7,7,835,1.0
74,“中国奇迹”助力世界减贫跑出加速度,10,10,806,1.0
75,历史不能选择，现在可以把握，未来可以开创,11,11,599,1.0
76,统筹硬件软件建设构建现代流通体系,8,8,953,1.0
77,“时时放心不下”,4,4,744,1.0
78,优化制度供给办好干部教育培训,7,7,947,1.0
79,望海楼正告台当局，收回涉港黑手！,8,3,803,0.375
80,望海楼肩负起国家和民族的希望,7,6,721,0.8571428571428571
81,为乡村振兴注入“智慧动力”,8,8,492,1.0
82,稳住外贸外资基本盘,5,5,750,1.0
83,深入推进党中央交给上海的三大任务落实,9,8,717,0.8888888888888888
84,实现环境治理现代化,3,3,795,1.0
85,和音瞩目历史交汇点上的中国,8,6,558,0.75
86,续写“一国两制”成功实践新篇章,6,4,619,0.6666666666666666
87,做守家庭美德的好成员,6,5,702,0.8333333333333334
88,中国风采感染世界,4,3,554,0.75
89,世上本无“修昔底德陷阱”,8,8,3466,1.0
90,爱国与家庭健康教育相连,6,5,718,0.8333333333333334
91,望海楼更好地展现社会主义制度优越性,7,6,715,0.8571428571428571
92,心无旁骛做实业,3,3,489,1.0
93,钟声坚持用理性面对外部不确定性,7,5,522,0.7142857142857143
94,让人工智能为高质量发展添薪续力,6,6,512,1.0
95,人不负青山，青山定不负人,8,8,610,1.0
96,望海楼维护国家安全是香港社会的共同责任,10,9,484,0.9
97,在精神洗礼中牢记初心使命,8,8,559,1.0
98,一带一路绘就民心相通美好画卷,8,7,940,0.875
99,任凭风浪起勇开顶风船,4,3,692,0.75
100,把对上负责与对下负责统一起来,10,10,661,1.0
101,美妄想在经贸谈判中“唯我独尊”，很不明智！,13,11,284,0.8461538461538461
102,以文明交流互鉴助推和平发展,7,6,762,0.8571428571428571
103,理论学习要有“攻书”精神,8,8,981,1.0
104,中国扶贫世界可鉴,4,3,596,0.75
105,人民日报和音瞩目进博会共享新机遇,8,4,819,0.5
106,铭记伟大胜利弘扬伟大精神,5,5,650,1.0
107,坚定信心打赢疫情防控阻击战,5,5,504,1.0
108,望海楼加快构建中西医结合的应急医疗体系,9,8,702,0.8888888888888888
109,健康的心态是防控疫情的“心理口罩”,11,11,2271,1.0
110,在提高抓落实能力中成长成才,8,7,675,0.875
111,注重减轻基层负担激励干部担当作为,8,8,642,1.0
112,打破文化交往的壁垒，期待和而不同的世界,9,9,607,1.0
113,提高领导干部防范化解重大风险能力,8,8,1244,1.0
114,中国梦世界梦,4,4,440,1.0
115,点亮跨越时空的思想灯塔,6,3,661,0.5
116,天下一家，推动构建“人类命运共同体”,9,9,1064,1.0
117,在决战中实现决胜,5,5,753,1.0
118,守土有方积极作为,4,4,821,1.0
119,“一国两制”底线不容挑战,6,6,703,1.0
120,“新门罗主义”不得人心,5,4,643,0.8
121,我们的繁荣得益于一带一路,6,6,511,1.0
122,“责”字当先荐人才,7,7,686,1.0
123,做好易地搬迁的“下篇文章”,8,8,591,1.0
124,坚持“一国两制”,4,4,847,1.0
125,建筑要有人文之根,5,3,762,0.6
126,从百年党史中感悟思想伟力,7,7,977,1.0
127,以生态优先、绿色发展为导向,8,8,719,1.0
128,将党的自我革命不断深化,7,6,662,0.8571428571428571
129,中华民族实现梦想的步伐不可阻挡,7,7,520,1.0
130,“一国两制”原则底线绝不容许触碰,8,8,765,1.0
131,不断解放和发展社会生产力,6,6,814,1.0
132,推动国土绿化不断取得实实在在的成效,8,8,881,1.0
133,用优质平台凝聚“众人之智”,8,8,1023,1.0
134,台湾问题不是美少数反华政客的“翻本筹码”,12,11,540,0.9166666666666666
135,加大对虚假广告的惩戒威慑,7,5,735,0.7142857142857143
136,决不能亏待“干将”“闯将”,8,8,831,1.0
137,稳中求进破浪前行,3,3,410,1.0
138,给子孙后代留下清洁美丽的长江,7,7,730,1.0
139,大力弘扬脱贫攻坚精神,5,5,601,1.0
140,人民日报和音珍重生命赢得世界信赖,8,5,781,0.625
141,正确认识我国发展的重要战略机遇期,7,7,726,1.0
142,大力选拔忠诚干净担当的优秀干部,7,7,849,1.0
143,望海楼中国扩大开放诚意十足,5,4,669,0.8
144,与“新生事物”一起成长,6,6,576,1.0
145,辛识平只有重诺笃行，才能推动中美经贸磋商不断向前,13,6,575,0.46153846153846156
146,成员增至百名！亚投行展现三大吸引力,9,7,874,0.7777777777777778
147,从大时空观把握高质量发展科学内涵,6,5,229,0.8333333333333334
148,深化团结合作加强全球治理,5,5,801,1.0
149,发扬越是艰险越向前的斗争精神,8,8,744,1.0
150,审视“年味”里的文化命题,8,8,726,1.0
151,乱舞“操纵汇率”大棒用心险恶,7,5,786,0.7142857142857143
152,以伟大抗疫精神凝聚民族复兴伟力,8,7,1011,0.875
153,讲好抗疫这堂“大思政课”,6,6,983,1.0
154,钟声“强制技术转让”是无稽之谈,7,6,654,0.8571428571428571
155,奋力推进网络强国建设，开创网信工作新局面,11,9,753,0.8181818181818182
156,吸收新鲜血液永葆青春活力,4,4,536,1.0
157,坚定不移站在历史正确的一边,7,7,2357,1.0
158,香港教育正本清源已刻不容缓,5,4,565,0.8
159,作好“三个表率”让中央放心让群众满意,10,8,682,0.8
160,不忘本、不忘恩，不忘其初,9,9,569,1.0
161,奋楫扬帆正当时,4,1,711,0.25
162,让“安全水”“放心水”滋润群众新生活,13,13,403,1.0
163,从人大制度发展史体悟党的初心,8,6,647,0.75
164,更加开放的中国更加繁荣的世界,8,8,692,1.0
165,在疫情防控常态化条件下加快恢复生产和生活秩序,13,13,574,1.0
166,为“劳模学院”点个赞,7,5,291,0.7142857142857143
167,“教育兴则国家兴”,6,6,646,1.0
168,多沾点“泥土气”,5,4,573,0.8
169,“血脉”通畅活力足,6,5,427,0.8333333333333334
170,乘势而上勇开新局,3,1,659,0.3333333333333333
171,没有人是一座孤岛,5,2,448,0.4
172,把准斗争方向明确斗争任务,6,4,565,0.6666666666666666
173,保护劳动者合法权益为复工复产注入新动能,9,9,614,1.0
174,把为老百姓做好事实事作为检验政绩重要标准,11,8,495,0.7272727272727273
175,一场欧盟权力博弈的游戏,6,5,659,0.8333333333333334
176,网络安全，既是防线又是底线,8,8,656,1.0
177,深入贯彻全面从严治党方针,5,5,798,1.0
178,中国特色粮食安全之路越走越宽广,8,8,651,1.0
179,不负新时代的光荣使命,6,5,750,0.8333333333333334
180,把好环评这道生态保护重要关口,8,8,712,1.0
181,以“破冰”的决心推进禁毒,8,6,400,0.75
182,美方“以疆制华”的图谋必将失败,9,9,576,1.0
183,“新基建”助力抗疫情稳增长正当其时,11,4,887,0.36363636363636365
184,弘扬伟大抗战精神推进伟大复兴事业,8,7,638,0.875
185,以加强党的全面领导为统领推进国家治理现代化,12,11,498,0.9166666666666666
186,不断培厚创新的沃土,5,4,740,0.8
187,抓紧抓实基层党组织建设,5,5,661,1.0
188,让文化在人心中发芽,6,6,855,1.0
189,依法履责、立规明矩的必要之举,9,9,778,1.0
190,全面理解地区经济增长目标的合理性,8,7,1031,0.875
191,美方干预中国内政的图谋绝不会得逞,8,8,674,1.0
192,抓创新不问“出身”,6,6,724,1.0
193,把良好卫生习惯和生活方式坚持下去,7,7,623,1.0
194,“中国制度”的深厚历史底蕴,8,7,679,0.875
195,助力贫困人口“进城脱贫”,6,5,797,0.8333333333333334
196,当代中国发展进步的根本制度保障,8,8,943,1.0
197,打好疫情防控的人民战争,6,6,533,1.0
198,向农民致敬，为丰收颂歌,7,6,762,0.8571428571428571
199,基层减负切忌“雷声大雨点小”,8,5,632,0.625
200,做改革的“挑山工”,6,6,686,1.0
201,以全面育人扭转片面应试教育倾向,7,7,283,1.0
202,透过中国开放大门，世界看到了什么？,10,7,446,0.7
203,坚持在常态化防控中加快推进生产生活秩序全面恢复,13,13,613,1.0
204,坚决反制奉陪到底,3,3,619,1.0
